KYTREASNOX,MCALDT,TMYTM
2000001,1941-09-30,5.0670363358505E-02
2000001,1941-10-31,7.6033219352425E-02
2000001,1941-11-29,1.7745513138676E-01
2000001,1941-12-31,2.0275113662063E-01
2000001,1942-01-31,1.5212389384663E-01
2000001,1942-02-28,1.2677621411019E-01
2000001,1942-03-31,1.0141423847732E-01
2000001,1942-04-30,2.0281423044369E-01
2000001,1942-05-29,2.7887900352521E-01
2000001,1942-06-30,2.9406534913491E-01
2000001,1942-07-31,3.3970125130907E-01
2000001,1942-08-31,3.4219911887353E-01
2000001,1942-09-30,3.5745882728506E-01
2000001,1942-10-31,3.4230729643247E-01
2000001,1942-11-30,3.0923687895510E-01
2000001,1942-12-31,3.5495139462462E-01
2000001,1943-01-30,3.3970018899738E-01
2000001,1943-02-27,3.1428548231314E-01
2000001,1943-03-31,3.4982252391072E-01
2000001,1943-04-30,3.1438156889067E-01
2000001,1943-05-29,3.1428548231314E-01
2000001,1943-06-30,3.3963565707497E-01
2000001,1943-07-31,3.3970125130907E-01
2000001,1943-08-31,3.1434210374633E-01
2000001,1943-09-30,3.3963565707497E-01
2000001,1943-10-30,3.3970125130907E-01
2000001,1943-11-30,3.1434210374633E-01
2000001,1943-12-31,3.3971308283008E-01
2000001,1944-01-31,3.3969327135910E-01
2000001,1944-02-29,2.8899873734794E-01
2000001,1944-03-31,3.3971308283008E-01
2000001,1944-04-29,2.8897395809839E-01
2000001,1944-05-31,3.3971982461380E-01
2000001,1944-06-30,3.3971308283008E-01
2000001,1944-07-31,2.8901538805171E-01
2000001,1944-08-31,2.8893752330691E-01
2000001,1944-09-30,3.4223491103422E-01
2000001,1944-10-31,2.9150566867213E-01
2000001,1944-11-30,2.9148280294660E-01
2000001,1944-12-30,2.9150750162483E-01
2000001,1945-01-31,2.9158567473970E-01
2000001,1945-02-28,2.9158567473970E-01
2000001,1945-03-31,3.4223491103422E-01
2000001,1945-04-30,2.9153568673727E-01
2000001,1945-05-31,2.9148280294660E-01
2000001,1945-06-30,3.4223491103422E-01
2000001,1945-07-31,2.9150566867213E-01
2000001,1945-08-31,3.4225278644163E-01
2000001,1945-09-29,3.4223491103422E-01
2000001,1945-10-31,2.9158567473970E-01
2000001,1945-11-30,3.4225278644163E-01
2000001,1945-12-31,3.4221367852451E-01
2000001,1946-01-31,3.4218106045576E-01
2000001,1946-02-28,3.4218106045576E-01
2000001,1946-03-30,3.4223491103422E-01
2000001,1946-04-30,3.4221367852451E-01
2000001,1946-05-31,3.4218106045576E-01
2000001,1946-06-28,3.4225278644163E-01
2000001,1946-07-31,3.4227061291651E-01
2000001,1946-08-30,3.4225278644163E-01
2000001,1946-09-30,3.4221367852451E-01
2000001,1946-10-31,3.4218106045576E-01
2000001,1946-11-30,3.4223491103422E-01
2000001,1946-12-31,3.1684908729089E-01
2000001,1947-01-31,3.4225278644163E-01
2000001,1947-02-28,3.4225278644163E-01
2000001,1947-03-31,3.4221367852451E-01
2000001,1947-04-30,3.4227061291651E-01
2000001,1947-05-29,3.4218106045576E-01
2000001,1947-06-30,3.4221367852451E-01
2000001,1947-07-31,3.4218106045576E-01
2000001,1947-08-29,3.1685065146434E-01
2000001,1947-09-30,7.4551577842207E-01
2000001,1947-10-31,7.9623675552427E-01
2000001,1947-11-28,8.3177554957444E-01
2000001,1947-12-31,8.8244696684351E-01
2000001,1948-01-30,9.3829353037274E-01
2000001,1948-02-27,9.5345438253536E-01
2000001,1948-03-31,9.7883964065463E-01
2000001,1948-04-30,9.8903648635055E-01
2000001,1948-05-28,9.9411897279752E-01
2000001,1948-06-30,9.8905941494686E-01
2000001,1948-07-30,9.8903648635055E-01
2000001,1948-08-31,1.0397025290627E+00
2000001,1948-09-30,5.8320883256501E-01
2000001,1948-10-29,1.0549494993574E+00
2000001,1948-11-30,1.1361426422654E+00
2000001,1948-12-31,1.1158640714527E+00
2000001,1949-01-31,1.1360864744274E+00
2000001,1949-02-28,1.1157683444777E+00
2000001,1949-03-31,1.1412492345094E+00
2000001,1949-04-29,1.1311134044559E+00
2000001,1949-05-31,1.1209080178640E+00
2000001,1949-06-30,1.0651862401220E+00
2000001,1949-07-29,1.0042034278200E+00
2000001,1949-08-31,1.0347451967970E+00
2000001,1949-09-30,1.0448645676307E+00
2000001,1949-10-31,1.0193857511853E+00
2000001,1949-11-30,1.0753226767824E+00
2000001,1949-12-30,1.0601128921220E+00
2000001,1950-01-31,1.1005589490332E+00
2000001,1950-02-28,1.1259192261793E+00
2000001,1950-03-31,1.1209471583852E+00
2000001,1950-04-28,1.1463629540765E+00
2000001,1950-05-31,1.1666228695693E+00
2000001,1950-06-30,1.1564488393470E+00
2000001,1950-07-31,1.1462456708862E+00
2000001,1950-08-31,1.2833576226794E+00
2000001,1950-09-29,1.3087158450221E+00
2000001,1950-10-31,1.2781224395320E+00
2000001,1950-11-30,1.3595200695043E+00
2000001,1950-12-29,1.3543920968646E+00
2000001,1951-01-31,1.3443697116291E+00
2000001,1951-02-28,1.3138522323557E+00
2000001,1951-03-30,1.4863530477076E+00
2000001,1951-04-30,1.3695403091063E+00
2000001,1951-05-31,1.4457968922364E+00
2000001,1951-06-29,1.4965227547506E+00
2000001,1951-07-31,1.5217846470108E+00
2000001,1951-08-31,1.5727233713070E+00
2000001,1951-09-28,1.6184108576937E+00
2000001,1951-10-31,1.2935534397177E+00
2000001,1951-11-30,1.3949912581072E+00
2000001,1951-12-31,1.6994649302172E+00
2000001,1952-01-31,1.3696333655088E+00
2000001,1952-02-29,1.2427066418328E+00
2000001,1952-03-31,1.4457161631336E+00
2000001,1952-04-30,1.6234807654120E+00
2000001,1952-05-29,1.6945693181180E+00
2000001,1952-06-30,1.7654975044405E+00
2000001,1952-07-31,1.8113255526089E+00
2000001,1952-08-29,1.6996199364502E+00
2000001,1952-09-30,1.5217846470108E+00
2000001,1952-10-31,1.4203329213896E+00
2000001,1952-11-28,1.8265465062038E+00
2000001,1952-12-31,1.9535916752953E+00
2000001,1953-01-30,1.8266121549931E+00
2000001,1953-02-27,2.0296965113608E+00
2000001,1953-03-31,1.9888976670755E+00
